"","x"
"1",13
"2",6
"3",5
"4",5
"5",6
"6",7
"7",4
"8",7
"9",7
"10",6
"11",8
"12",7
"13",14
"14",6
"15",13
"16",7
"17",10
"18",4
"19",3
"20",9
"21",6
"22",8
"23",10
"24",6
"25",8
"26",5
"27",9
"28",12
"29",9
"30",8
"31",6
"32",9
"33",5
"34",9
"35",4
"36",9
"37",7
"38",7
"39",12
"40",9
"41",11
"42",9
"43",10
"44",12
"45",8
"46",5
"47",4
"48",8
"49",9
"50",4
"51",3
"52",9
"53",9
"54",6
"55",5
"56",6
"57",5
"58",6
"59",7
"60",7
"61",12
"62",7
"63",5
"64",9
"65",6
"66",5
"67",10
"68",6
"69",11
"70",9
"71",10
"72",8
"73",9
"74",14
"75",6
"76",9
"77",7
"78",5
"79",5
"80",6
"81",7
"82",9
"83",8
"84",6
"85",5
"86",8
"87",8
"88",3
"89",8
"90",5
"91",8
"92",8
"93",9
"94",8
"95",12
"96",9
"97",3
"98",13
"99",9
"100",5
