"","x"
"1",11
"2",7
"3",10
"4",8
"5",10
"6",11
"7",8
"8",7
"9",6
"10",2
"11",11
"12",13
"13",11
"14",10
"15",6
"16",7
"17",7
"18",8
"19",12
"20",7
"21",5
"22",9
"23",3
"24",9
"25",7
"26",10
"27",10
"28",8
"29",12
"30",5
"31",9
"32",8
"33",11
"34",12
"35",9
"36",7
"37",9
"38",12
"39",11
"40",9
"41",6
"42",8
"43",10
"44",6
"45",10
"46",2
"47",7
"48",4
"49",3
"50",9
"51",8
"52",6
"53",8
"54",13
"55",5
"56",6
"57",7
"58",6
"59",5
"60",6
"61",11
"62",10
"63",11
"64",4
"65",5
"66",10
"67",8
"68",8
"69",11
"70",8
"71",11
"72",10
"73",11
"74",8
"75",5
"76",7
"77",10
"78",11
"79",7
"80",12
"81",8
"82",10
"83",7
"84",6
"85",9
"86",3
"87",9
"88",3
"89",15
"90",5
"91",10
"92",5
"93",7
"94",11
"95",5
"96",6
"97",8
"98",12
"99",7
"100",7
